,property_type,operation_type,created_on,lat,lon,l2,bathrooms,price,surface,rooms_bedrooms,month,year
183,Casa,Venta,2020-10-07,3.44,-76.506,Valle del Cauca,1.0,150000000.0,85.0,3.0,10,2020
394,Casa,Venta,2020-10-07,7.92,-72.499,Norte de Santander,2.0,160000000.0,98.0,3.0,10,2020
404,Casa,Venta,2020-10-07,3.441,-76.54,Valle del Cauca,2.0,250000000.0,,4.0,10,2020
406,Casa,Venta,2020-10-07,3.4341782,-76.4669872,Valle del Cauca,2.0,120000000.0,,4.0,10,2020
407,Casa,Venta,2020-10-07,3.388,-76.542,Valle del Cauca,2.0,580000000.0,,3.0,10,2020
408,Casa,Venta,2020-10-07,3.425,-76.546,Valle del Cauca,2.0,450000000.0,,4.0,10,2020
412,Casa,Venta,2020-10-07,3.432,-76.465,Valle del Cauca,2.0,125000000.0,48.0,4.0,10,2020
414,Casa,Venta,2020-10-07,3.432,-76.534,Valle del Cauca,2.0,300000000.0,,3.0,10,2020
420,Casa,Venta,2020-10-07,3.4,-76.543,Valle del Cauca,2.0,599000000.0,,4.0,10,2020
428,Casa,Venta,2020-10-07,3.451,-76.532,Valle del Cauca,2.0,290000000.0,,5.0,10,2020
460,Casa,Venta,2020-10-07,2.777781,-75.2594359,Huila,2.0,395000000.0,,3.0,10,2020
489,Casa,Venta,2020-10-07,3.275,-76.507,Valle del Cauca,2.0,550000000.0,,3.0,10,2020
490,Casa,Venta,2020-10-07,3.236,-76.509,Valle del Cauca,2.0,130000000.0,,6.0,10,2020
527,Casa,Venta,2020-10-07,5.0483308,-75.4799556,Caldas,2.0,420000000.0,,4.0,10,2020
548,Casa,Venta,2020-10-07,5.0710599,-75.5225747,Caldas,2.0,130000000.0,,5.0,10,2020
843,Casa,Venta,2020-10-07,6.2532706,-75.5982273,Antioquia,2.0,700000000.0,,3.0,10,2020
854,Casa,Venta,2020-10-07,6.293,-75.598,Antioquia,2.0,155000000.0,74.0,3.0,10,2020
861,Casa,Venta,2020-10-07,5.0271223,-73.9705767,Cundinamarca,2.0,350000000.0,,3.0,10,2020
865,Casa,Venta,2020-10-07,4.6498473,-74.1717231,Cundinamarca,2.0,145000000.0,,3.0,10,2020
873,Casa,Venta,2020-10-07,4.753,-74.112,Cundinamarca,2.0,175000000.0,63.0,3.0,10,2020
877,Casa,Venta,2020-10-07,4.748,-74.111,Cundinamarca,2.0,190000000.0,99.0,4.0,10,2020
878,Casa,Venta,2020-10-07,4.739,-74.062,Cundinamarca,2.0,320000000.0,73.0,3.0,10,2020
888,Casa,Venta,2020-10-07,5.0435524,-75.508881,Caldas,2.0,250000000.0,,5.0,10,2020
889,Casa,Venta,2020-10-07,5.0473864,-75.5196577,Caldas,2.0,280000000.0,,3.0,10,2020
912,Casa,Venta,2020-10-07,7.92,-72.487,Norte de Santander,3.0,350000000.0,160.0,4.0,10,2020
917,Casa,Venta,2020-10-07,7.907,-72.497,Norte de Santander,3.0,330000000.0,108.0,3.0,10,2020
919,Casa,Venta,2020-10-07,7.9,-72.479,Norte de Santander,3.0,145000000.0,69.0,3.0,10,2020
920,Casa,Venta,2020-10-07,7.905,-72.517,Norte de Santander,3.0,120000000.0,69.0,3.0,10,2020
